gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
VXRNQHVU_CDS_0001	99	302	+	NC_031039	-125.3051688010432	38047	166.0	1.0	1.758e-51	MF360957_p185	38047	167.310608	1.0474136351961534e-49	No_custom_HMM	No_custom_HMM	No_custom_HMM	38047	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
VXRNQHVU_CDS_0002	409	1521	+	NC_031039	-202348457.81606743	100	166.0	0.304	8.784000000000001e-46	NC_031107_p32	100	162.794846	2.7212461759828435e-47	No_custom_HMM	No_custom_HMM	No_custom_HMM	100	PHANOTATE_1.5.1	CDS	#ffdf59	SbcD-like subunit of palindrome specific endonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
VXRNQHVU_CDS_0003	1521	2000	+	NC_031039	-987563.5818526368	21807	326.0	0.968	3.1099999999999997e-105	MF360957_p187	21807	273.342499	1.087638460640182e-81	No_custom_HMM	No_custom_HMM	No_custom_HMM	21807	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
VXRNQHVU_CDS_0004	2002	2550	+	NC_031039	-430052.8731700969	289	105.0	0.389	1.7210000000000001e-28	MF155946_p88	289	50.316143	3.341274611011943e-13	No_custom_HMM	No_custom_HMM	No_custom_HMM	289	PHANOTATE_1.5.1	CDS	#838383	GTP-binding domain	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
VXRNQHVU_CDS_0005	2531	3223	+	NC_031039	-1793190694.3364956	421	77.0	0.339	4.629e-17	EU676000_p47	421	180.541916	7.156532274931227e-53	No_custom_HMM	No_custom_HMM	No_custom_HMM	421	PHANOTATE_1.5.1	CDS	#c9c9c9	unknown function	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
VXRNQHVU_CDS_0006	3216	3485	+	NC_031039	-1517.547501065205	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
VXRNQHVU_CDS_0007	3583	5268	+	NC_031039	-3.225367721357822e+20	19	74.0	0.263	1.004e-15	p414569 VI_10123	19	125.716789	5.118514660697264e-36	No_custom_HMM	No_custom_HMM	No_custom_HMM	19	PHANOTATE_1.5.1	CDS	#ffdf59	DnaB-like replicative helicase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
VXRNQHVU_CDS_0008	5279	5521	+	NC_031039	-300.4796388891494	36570	186.0	1.0	3.331e-58	NC_031039_p8	36570	175.074127	4.7899922815188556e-52	No_custom_HMM	No_custom_HMM	No_custom_HMM	36570	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
VXRNQHVU_CDS_0009	5499	5990	+	NC_031039	-151885229.2839403	35686	420.0	1.0	1.236e-137	NC_031039_p9	35686	374.484711	1.0157287710020091e-112	No_custom_HMM	No_custom_HMM	No_custom_HMM	35686	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
VXRNQHVU_CDS_0010	8582	6036	-	NC_031039	-3.1364947870387856e+26	22056	1669.0	0.938	0.0	KT895374_p49	22056	1722.734497	0.0	No_custom_HMM	No_custom_HMM	No_custom_HMM	22056	PHANOTATE_1.5.1	CDS	#07e9a2	baseplate wedge subunit	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
