gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
MFHNZSZY_CDS_0001	3	158	+	KT887559	-4.510629574328289	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MFHNZSZY_CDS_0002	172	285	+	KT887559	-0.0859542841174524	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MFHNZSZY_CDS_0003	355	492	+	KT887559	-1.828635157397684	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MFHNZSZY_CDS_0004	657	758	+	KT887559	-0.2900044628648105	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MFHNZSZY_CDS_0005	810	932	+	KT887559	-0.1567835660277048	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MFHNZSZY_CDS_0006	1071	2756	+	KT887559	-149444247.97199145	1423	291.0	0.448	3.9619999999999996e-89	p68421 VI_04962	1423	451.947083	1.0505267054500638e-134	No_custom_HMM	No_custom_HMM	No_custom_HMM	1423	PHANOTATE_1.5.1	CDS	#ffdf59	Reverse transcriptase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MFHNZSZY_CDS_0007	3951	2887	-	KT887559	-11978.767599570896	7269	97.0	0.632	1.224e-27	p209079 VI_03929	1	194.177429	1.254644604382894e-56	No_custom_HMM	No_custom_HMM	No_custom_HMM	7269	PHANOTATE_1.5.1	CDS	#fea328	integrase	integration and excision	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MFHNZSZY_CDS_0008	4300	4061	-	KT887559	-19.653094378395103	147	105.0	0.662	2.9850000000000002e-30	p315289 VI_07968	147	90.661659	1.3025596278347356e-25	No_custom_HMM	No_custom_HMM	No_custom_HMM	147	PHANOTATE_1.5.1	CDS	#a861e3	transcriptional regulator	transcription regulation	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MFHNZSZY_CDS_0009	4411	4301	-	KT887559	-2.792816087450264	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MFHNZSZY_CDS_0010	4398	4628	+	KT887559	-14.945086563981006	575	73.0	0.576	7.273000000000001e-20	p264496 VI_02100	575	77.486412	1.2743978314778287e-21	No_custom_HMM	No_custom_HMM	No_custom_HMM	575	PHANOTATE_1.5.1	CDS	#fea328	Cox-like excisionase and repressor	integration and excision	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MFHNZSZY_CDS_0011	4638	7328	+	KT887559	-134300476857.5219	1139	428.0	0.346	1.42e-129	p412832 VI_12129	1139	862.683228	5.883715852341776e-259	No_custom_HMM	No_custom_HMM	No_custom_HMM	1139	PHANOTATE_1.5.1	CDS	#ffdf59	DNA primase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MFHNZSZY_CDS_0012	7336	7425	+	KT887559	-0.1774845091205707	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MFHNZSZY_CDS_0013	7527	7637	+	KT887559	-2.1516197110206625	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
