#Annotated with Bakta v1.9.1, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	17039	17539	-	DNICKM_00095	20.5	9.8		SO:0001217, UniRef:UniRef50_A0A223LCZ0, UniRef:UniRef90_A0A223LCZ0
contig_1	17551	20286	-	DNICKM_00100	105.7	5.1	PF13476.9|AAA_23	PFAM:PF13476.9
contig_1	37216	37503	+	DNICKM_00195	11.3	7.8		SO:0001217, UniRef:UniRef50_A0A172JI61, UniRef:UniRef90_A0A172JI61
contig_1	44373	44753	+	DNICKM_00250	14.4	5.5		
contig_1	45437	45709	+	DNICKM_00265	10.7	5.0		
contig_1	45711	46802	+	DNICKM_00270	42.6	5.1		
contig_1	49440	49946	+	DNICKM_00300	19.8	5.4		
contig_1	53491	54597	-	DNICKM_00315	43.8	9.3		
contig_1	66547	66879	+	DNICKM_00370	12.5	9.4	PF01381.25|HTH_3, PF13443.9|HTH_26, PF13744.9|HTH_37	PFAM:PF01381.25, PFAM:PF13443.9, PFAM:PF13744.9
contig_1	76084	77028	+	DNICKM_00400	37.2	8.9		
contig_1	77456	78196	+	DNICKM_00405	29.5	9.0		
contig_1	80464	81294	-	DNICKM_00430	32.0	5.6		SO:0001217, UniRef:UniRef50_A0A172JIA4, UniRef:UniRef90_A0A172JIA4
contig_1	102205	102321	-	DNICKM_00525	4.4	9.9		
contig_1	105858	106583	+	DNICKM_00550	28.3	8.7		SO:0001217, UniParc:UPI000B9D781F, UniRef:UniRef100_A0A223LEK9, UniRef:UniRef50_A0A223LEK9, UniRef:UniRef90_A0A223LEK9
contig_1	114273	114380	+	DNICKM_00615	4.4	9.0		
contig_1	123406	123711	-	DNICKM_00690	11.9	9.7	PF01710.19|HTH_Tnp_IS630, PF02650.17|HTH_WhiA, PF04967.15|HTH_10, PF08279.15|HTH_11, PF12824.10|MRP-L20, PF13412.9|HTH_24	PFAM:PF01710.19, PFAM:PF02650.17, PFAM:PF04967.15, PFAM:PF08279.15, PFAM:PF12824.10, PFAM:PF13412.9
contig_1	128575	128916	-	DNICKM_00730	13.8	9.2		
contig_1	152770	152964	-	DNICKM_00830	7.3	10.7		SO:0001217, UniRef:UniRef50_A0A172JII2, UniRef:UniRef90_A0A172JII2
contig_1	152981	153688	-	DNICKM_00835	27.1	9.7		SO:0001217, UniRef:UniRef50_A0A223LCR2, UniRef:UniRef90_A0A223LCR2
contig_1	155309	155803	+	DNICKM_00850	19.3	6.5		
contig_1	157007	157276	+	DNICKM_00865	10.2	4.8		
contig_1	157374	158123	+	DNICKM_00870	28.8	6.5		
contig_1	158661	158897	+	DNICKM_00875	8.8	4.1		
contig_1	158949	159917	+	DNICKM_00880	38.4	8.7		
contig_1	160290	160748	+	DNICKM_00885	17.1	6.0		
contig_1	160759	160989	+	DNICKM_00890	8.7	9.5		
contig_1	168190	169182	+	DNICKM_00930	39.0	8.3		
contig_1	181318	181515	+	DNICKM_01005	7.7	9.9		
contig_1	181512	182735	+	DNICKM_01010	49.4	7.1		
contig_1	187151	188296	+	DNICKM_01035	45.0	6.4		SO:0001217, UniRef:UniRef50_A0A223LDD9, UniRef:UniRef90_A0A223LDD9
contig_1	214580	214795	-	DNICKM_01195	8.5	5.8		SO:0001217, UniRef:UniRef50_A0A223LDH4, UniRef:UniRef90_A0A223LDH4
contig_1	224341	225003	+	DNICKM_01255	25.7	5.8		
contig_1	229013	229165	+	DNICKM_01290	5.9	9.8		
contig_1	231077	232054	+	DNICKM_01305	38.7	9.4		
contig_1	233294	233701	+	DNICKM_01320	16.0	4.9		SO:0001217, UniRef:UniRef50_A0A172JHY5, UniRef:UniRef90_A0A172JHY5
contig_1	234542	235732	+	DNICKM_01335	45.7	5.2	PF01653.21|DNA_ligase_aden	PFAM:PF01653.21
contig_1	235900	236127	+	DNICKM_01340	8.9	6.8		
contig_1	238352	238498	+	DNICKM_01360	5.5	9.4		SO:0001217, UniRef:UniRef50_A0A172JI02, UniRef:UniRef90_A0A172JI02
contig_1	243302	243646	+	DNICKM_01400	13.2	6.1		SO:0001217, UniRef:UniRef50_A0A172JI13, UniRef:UniRef90_A0A172JI13
