locus_tag	ftype	length_bp	gene	EC_number	COG	product
HQ906664_00001	CDS	1494				unannotated protein
HQ906664_00002	CDS	432				unannotated protein
HQ906664_00003	CDS	465				unannotated protein
HQ906664_00004	CDS	729				unannotated protein
HQ906664_00005	CDS	1161				unannotated protein
HQ906664_00006	CDS	795				unannotated protein
HQ906664_00007	CDS	336				unannotated protein
HQ906664_00008	CDS	255				unannotated protein
HQ906664_00009	CDS	465				unannotated protein
HQ906664_00010	CDS	474				unannotated protein
HQ906664_00011	CDS	501				unannotated protein
HQ906664_00012	CDS	306				unannotated protein
HQ906664_00013	CDS	1005				unannotated protein
HQ906664_00014	CDS	369				unannotated protein
HQ906664_00015	CDS	1047				unannotated protein
HQ906664_00016	CDS	1416				unannotated protein
HQ906664_00017	CDS	528				unannotated protein
HQ906664_00018	CDS	177				unannotated protein
HQ906664_00019	CDS	225				unannotated protein
HQ906664_00020	CDS	1011				unannotated protein
HQ906664_00021	CDS	606				unannotated protein
HQ906664_00022	CDS	1479				unannotated protein
HQ906664_00023	CDS	486				unannotated protein
HQ906664_00024	CDS	1221				unannotated protein
HQ906664_00025	CDS	330				unannotated protein
HQ906664_00026	CDS	495				unannotated protein
HQ906664_00027	CDS	822				unannotated protein
HQ906664_00028	CDS	822				unannotated protein
