locus_tag	ftype	length_bp	gene	EC_number	COG	product
MZ422438_00001	CDS	468				unannotated protein
MZ422438_00002	CDS	744				unannotated protein
MZ422438_00003	CDS	567				unannotated protein
MZ422438_00004	CDS	795				unannotated protein
MZ422438_00005	CDS	570				unannotated protein
MZ422438_00006	CDS	162				unannotated protein
MZ422438_00007	CDS	375				unannotated protein
MZ422438_00008	CDS	1191				unannotated protein
MZ422438_00009	CDS	405				unannotated protein
MZ422438_00010	CDS	321				unannotated protein
MZ422438_00011	CDS	423				unannotated protein
MZ422438_00012	CDS	405				unannotated protein
MZ422438_00013	CDS	522				unannotated protein
MZ422438_00014	CDS	333				unannotated protein
MZ422438_00015	CDS	105				unannotated protein
MZ422438_00016	CDS	567				unannotated protein
MZ422438_00017	CDS	750				unannotated protein
MZ422438_00018	CDS	912				unannotated protein
MZ422438_00019	CDS	219				unannotated protein
MZ422438_00020	CDS	141				unannotated protein
MZ422438_00021	CDS	270				unannotated protein
MZ422438_00022	CDS	414				unannotated protein
MZ422438_00023	CDS	507				unannotated protein
MZ422438_00024	CDS	1005				unannotated protein
MZ422438_00025	CDS	936				unannotated protein
MZ422438_00026	CDS	1005				unannotated protein
MZ422438_00027	CDS	474				unannotated protein
MZ422438_00028	CDS	312				unannotated protein
MZ422438_00029	CDS	321				unannotated protein
MZ422438_00030	CDS	375				unannotated protein
MZ422438_00031	CDS	867				unannotated protein
MZ422438_00032	CDS	639				unannotated protein
MZ422438_00033	CDS	312				unannotated protein
MZ422438_00034	CDS	408				unannotated protein
MZ422438_00035	CDS	834				unannotated protein
MZ422438_00036	CDS	789				unannotated protein
MZ422438_00037	CDS	1179				unannotated protein
MZ422438_00038	CDS	252				unannotated protein
MZ422438_00039	CDS	210				unannotated protein
MZ422438_00040	CDS	174				unannotated protein
MZ422438_00041	CDS	135				unannotated protein
MZ422438_00042	CDS	735				unannotated protein
MZ422438_00043	CDS	1488				unannotated protein
MZ422438_00044	CDS	606				unannotated protein
MZ422438_00045	CDS	102				unannotated protein
MZ422438_00046	CDS	633				unannotated protein
MZ422438_00047	CDS	558				unannotated protein
MZ422438_00048	CDS	348				unannotated protein
MZ422438_00049	CDS	843				unannotated protein
MZ422438_00050	CDS	690				unannotated protein
MZ422438_00051	CDS	633				unannotated protein
MZ422438_00052	CDS	702				unannotated protein
MZ422438_00053	CDS	906				unannotated protein
MZ422438_00054	CDS	1047				unannotated protein
MZ422438_00055	CDS	762				unannotated protein
MZ422438_00056	CDS	372				unannotated protein
MZ422438_00057	CDS	867				unannotated protein
MZ422438_00058	CDS	498				unannotated protein
MZ422438_00059	CDS	741				unannotated protein
MZ422438_00060	CDS	285				unannotated protein
MZ422438_00061	CDS	411				unannotated protein
MZ422438_00062	CDS	681				unannotated protein
MZ422438_00063	CDS	267				unannotated protein
MZ422438_00064	CDS	123				unannotated protein
MZ422438_00065	CDS	885				unannotated protein
MZ422438_00066	CDS	516				unannotated protein
MZ422438_00067	CDS	480				unannotated protein
MZ422438_00068	CDS	447				unannotated protein
MZ422438_00069	CDS	687				unannotated protein
MZ422438_00070	CDS	93				unannotated protein
MZ422438_00071	CDS	618				unannotated protein
MZ422438_00072	CDS	582				unannotated protein
MZ422438_00073	CDS	357				unannotated protein
MZ422438_00074	CDS	708				unannotated protein
MZ422438_00075	CDS	453				unannotated protein
MZ422438_00076	CDS	543				unannotated protein
MZ422438_00077	CDS	1149				unannotated protein
MZ422438_00078	CDS	477				unannotated protein
MZ422438_00079	CDS	225				unannotated protein
MZ422438_00080	CDS	399				unannotated protein
MZ422438_00081	CDS	759				unannotated protein
MZ422438_00082	CDS	2472				unannotated protein
MZ422438_00083	CDS	525				unannotated protein
MZ422438_00084	CDS	114				unannotated protein
MZ422438_00085	CDS	630				unannotated protein
MZ422438_00086	CDS	1281				unannotated protein
MZ422438_00087	CDS	504				unannotated protein
MZ422438_00088	CDS	732				unannotated protein
MZ422438_00089	CDS	396				unannotated protein
MZ422438_00090	CDS	462				unannotated protein
MZ422438_00091	CDS	450				unannotated protein
MZ422438_00092	CDS	918				unannotated protein
MZ422438_00093	CDS	1878				unannotated protein
MZ422438_00094	CDS	681				unannotated protein
MZ422438_00095	CDS	774				unannotated protein
MZ422438_00096	CDS	237				unannotated protein
MZ422438_00097	CDS	1785				unannotated protein
