# Annotated with Bakta
# Software: v1.9.1
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	316	651	+	HDHPGI_00005		Phage baseplate assembly protein W	COG:COG3628, COG:X, SO:0001217, UniRef:UniRef50_Q4E960, UniRef:UniRef90_Q4E960
contig_1	cds	661	1488	+	HDHPGI_00010		Phage-related baseplate assembly protein	COG:COG3948, COG:X, SO:0001217, UniRef:UniRef50_B9A8V0, UniRef:UniRef90_B9A8V0
contig_1	cds	1485	1676	+	HDHPGI_00015		hypothetical protein	
contig_1	cds	1712	2773	+	HDHPGI_00020		phage tail protein	SO:0001217, UniRef:UniRef50_Q73HC8, UniRef:UniRef90_UPI001C712EFE
contig_1	cds	2760	3383	+	HDHPGI_00025		Phage tail protein	SO:0001217, UniRef:UniRef50_Q73HH9
contig_1	cds	3939	4148	+	HDHPGI_00030		(pseudo) Putative phage related protein	SO:0001217, UniRef:UniRef50_B6Y9P8, UniRef:UniRef90_B6Y9P8
contig_1	cds	4145	4609	+	HDHPGI_00035		(pseudo) DUF4815 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A5E4NNG8, UniRef:UniRef90_UPI0011065167
contig_1	cds	4652	5197	+	HDHPGI_00040		(pseudo) Putative phage related protein	SO:0001217, UniRef:UniRef50_B6Y7J1, UniRef:UniRef90_B6Y7J1
contig_1	cds	5283	5414	+	HDHPGI_00045		hypothetical protein	
contig_1	cds	5427	5573	+	HDHPGI_00050		hypothetical protein	
contig_1	cds	5660	6532	+	HDHPGI_00055		CBM-cenC domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0D8CN95
contig_1	cds	6808	8298	+	HDHPGI_00060		Phage tail protein	SO:0001217, UniRef:UniRef50_A0A3T0GK11
contig_1	cds	8424	9188	+	HDHPGI_00065		hypothetical protein	
contig_1	cds	9831	10049	+	HDHPGI_00070		Phage protein	SO:0001217, UniRef:UniRef50_B3CPQ8, UniRef:UniRef90_M9WU92
contig_1	cds	10024	10971	+	HDHPGI_00075	pATA	Patatin-like phospholipase/acyl hydrolase, includes sporulation protein CotR	COG:COG3621, COG:R, SO:0001217, UniRef:UniRef50_Q4EAF5, UniRef:UniRef90_Q4EAF5
