locus_tag	ftype	length_bp	gene	EC_number	COG	product
MT836484_00001	rRNA	111				5S ribosomal RNA
MT836484_00002	tRNA	75				tRNA-Ile(gat)
MT836484_00003	CDS	981				unannotated protein
MT836484_00004	CDS	525				unannotated protein
MT836484_00005	CDS	1005				unannotated protein
MT836484_00006	CDS	624				unannotated protein
MT836484_00007	CDS	834				unannotated protein
MT836484_00008	CDS	1098				unannotated protein
MT836484_00009	CDS	441				unannotated protein
MT836484_00010	CDS	498				unannotated protein
MT836484_00011	CDS	642				unannotated protein
MT836484_00012	CDS	372				unannotated protein
MT836484_00013	CDS	867				unannotated protein
MT836484_00014	CDS	1614				unannotated protein
MT836484_00015	CDS	531				unannotated protein
