gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
SSNFIDNB_CDS_0001	1	2988	+	MN091626	-3.779879566762603e+35	18960	607.0	0.381	4.7789999999999996e-189	MF360957_p103	18960	674.087891	6.090677525880441e-202	No_custom_HMM	No_custom_HMM	No_custom_HMM	18960	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SSNFIDNB_CDS_0002	3027	4007	+	MN091626	-254236182826.89297	27868	44.0	0.361	6.633e-07	MF360957_p102	27868	43.442299	5.4586039149914935e-11	No_custom_HMM	No_custom_HMM	No_custom_HMM	27868	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SSNFIDNB_CDS_0003	5805	4063	-	MN091626	-7.813632185011221e+20	19	58.0	0.192	8.273e-11	p414569 VI_10123	19	110.930656	1.5327392991866273e-31	No_custom_HMM	No_custom_HMM	No_custom_HMM	19	PHANOTATE_1.5.1	CDS	#ffdf59	DnaB-like replicative helicase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SSNFIDNB_CDS_0004	6972	5830	-	MN091626	-29361356666.50728	100	123.0	0.277	1.8460000000000002e-31	NC_031107_p32	100	122.257996	4.7965959444981793e-35	No_custom_HMM	No_custom_HMM	No_custom_HMM	100	PHANOTATE_1.5.1	CDS	#ffdf59	SbcD-like subunit of palindrome specific endonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SSNFIDNB_CDS_0005	7348	6965	-	MN091626	-146312.46219402537	28554	72.0	0.35	4.692e-16	MH078572_p161	2164	84.108505	1.6795247769009336e-23	No_custom_HMM	No_custom_HMM	No_custom_HMM	28554	PHANOTATE_1.5.1	CDS	#838383	MazG-like pyrophosphatase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SSNFIDNB_CDS_0006	7842	7354	-	MN091626	-202435.03434330967	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SSNFIDNB_CDS_0007	7768	7902	+	MN091626	-0.0616761782461598	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SSNFIDNB_CDS_0008	8167	9075	+	MN091626	-6377097.451147444	21032	150.0	0.361	1.457e-41	KT895374_p28	21032	194.967529	3.984269106345337e-57	No_custom_HMM	No_custom_HMM	No_custom_HMM	21032	PHANOTATE_1.5.1	CDS	#3e83f6	virion structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SSNFIDNB_CDS_0009	9152	14107	+	MN091626	-3.2427494014002134e+57	25499	43.0	0.181	7.064e-06	KT895374_p26	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	25499	PHANOTATE_1.5.1	CDS	#3e83f6	virion structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SSNFIDNB_CDS_0010	14206	19449	+	MN091626	-1.5534511197936627e+56	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
