# Annotated with Bakta
# Software: v1.9.1
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	tRNA	1	67	-	BHHJFJ_00005	trnR	tRNA-Arg(cct)	SO:0001036
contig_1	cds	265	1434	+	BHHJFJ_00010		Integrase	RefSeq:WP_001218301.1, SO:0001217, UniParc:UPI0002A12B09, UniRef:UniRef100_A0A1U9AJC1, UniRef:UniRef50_B6DZS1, UniRef:UniRef90_A0A1U9AJC1
contig_1	cds	1418	1600	-	BHHJFJ_00015		DNA-binding protein	RefSeq:WP_000405131.1, SO:0001217, UniParc:UPI000175E2AF, UniRef:UniRef100_A0A1L3WSE1, UniRef:UniRef50_A0A1Q5VCQ9, UniRef:UniRef90_A0A2I6JWV7
contig_1	cds	1661	1912	-	BHHJFJ_00020		DUF4222 domain-containing protein	RefSeq:WP_000497812.1, SO:0001217, UniParc:UPI00016C8396, UniRef:UniRef100_A0A0H0JW05, UniRef:UniRef50_A0A0A6ZS07, UniRef:UniRef90_L3Q9U2
contig_1	cds	1900	2133	-	BHHJFJ_00025		hypothetical protein	RefSeq:WP_021351637.1, SO:0001217, UniParc:UPI00038FC185, UniRef:UniRef100_A0A1Y2Y1U3, UniRef:UniRef50_A0A2H3M0L0, UniRef:UniRef90_A0A2H3M0L0
contig_1	cds	2277	2657	-	BHHJFJ_00030		DUF1627 domain-containing protein	RefSeq:WP_032210541.1, SO:0001217, UniParc:UPI000448BFE5, UniRef:UniRef100_UPI000448BFE5, UniRef:UniRef50_A0A0A0HI55, UniRef:UniRef90_A0A2U9KTZ0
contig_1	cds	2693	2905	-	BHHJFJ_00035		DUF1382 domain-containing protein	RefSeq:WP_103654598.1, SO:0001217, UniParc:UPI000CD8B093, UniRef:UniRef100_UPI000CD8B093, UniRef:UniRef50_A0A0H4IU56, UniRef:UniRef90_A0A0H4IU56
contig_1	cds	2865	3509	-	BHHJFJ_00040		Adenine methylase	SO:0001217, UniRef:UniRef50_R4YAN5, UniRef:UniRef90_A0A1Q4Q091
contig_1	cds	3487	3690	-	BHHJFJ_00045		DUF4145 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7R6U565, UniRef:UniRef90_A0A7R6U565
contig_1	cds	3717	4118	-	BHHJFJ_00050		hypothetical protein	
contig_1	cds	4066	6243	-	BHHJFJ_00055		hypothetical protein	PFAM:PF00078.30
contig_1	cds	6835	7317	-	BHHJFJ_00060		Transposase	SO:0001217, UniRef:UniRef50_A0A8E0G072, UniRef:UniRef90_A0A1X9WZW5
contig_1	ncRNA-region	7243	7359	-			ALIL pseudoknot	RFAM:RF01497, SO:0005836
contig_1	cds	7314	7640	-	BHHJFJ_00065	tnp	IS3 family IS1203 transposase ORF A	GO:0003677, GO:0006310, GO:0015074, GO:0032196, IS:IS1203, RefSeq:WP_000165061.1, SO:0001217, UniParc:UPI00000D5F2F, UniRef:UniRef100_A0A2S7FTY6, UniRef:UniRef50_P16942, UniRef:UniRef90_P16942
contig_1	cds	7666	8205	-	BHHJFJ_00070		Upf89-0	SO:0001217, UniRef:UniRef50_A0A0H3FHC7, UniRef:UniRef90_D9CH34
contig_1	cds	8207	8977	-	BHHJFJ_00075		Ead/Ea22-like family protein	RefSeq:WP_001289924.1, SO:0001217, UniParc:UPI00026788D2, UniRef:UniRef100_UPI00026788D2, UniRef:UniRef50_Q9XJM6, UniRef:UniRef90_A0A0P0ZBT2
contig_1	sorf	9202	9291	-	BHHJFJ_00080		SLEI domain protein, PF07620 family	SO:0001217, UniParc:UPI00015C4C5A, UniRef:UniRef100_A0A2X1MZM2, UniRef:UniRef50_A0A234G1S7, UniRef:UniRef90_A0A234G1S7
contig_1	cds	9294	9509	-	BHHJFJ_00085	zapA	Cell division protein ZapA	RefSeq:WP_000188870.1, SO:0001217, UniParc:UPI0000165400, UniRef:UniRef100_J7QYU8, UniRef:UniRef50_A0A828GKT7, UniRef:UniRef90_A0A828GKT7
contig_1	sorf	9506	9589	-	BHHJFJ_00090		Ammonium transporter	SO:0001217, UniRef:UniRef50_A0A1C7CVM9, UniRef:UniRef90_A0A1C7CVM9
contig_1	cds	9586	9777	-	BHHJFJ_00095		DUF1382 domain-containing protein	RefSeq:WP_000548531.1, SO:0001217, UniParc:UPI000019AB46, UniRef:UniRef100_J7Q6M4, UniRef:UniRef50_A0A0K9TCF4, UniRef:UniRef90_A0A0K9TCF4
contig_1	cds	9755	9931	-	BHHJFJ_00100		DUF1317 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A4C9ES99, UniRef:UniRef90_A0A3Q0N412
contig_1	cds	9928	10608	-	BHHJFJ_00105	exoD	Putative uncharacterized protein ExoD	EC:3.1.11.3, GO:0004527, GO:0046872, RefSeq:WP_000186835.1, SO:0001217, UniParc:UPI0001825D24, UniRef:UniRef100_A0A2P6ADM9, UniRef:UniRef50_P03697, UniRef:UniRef90_P03697
contig_1	cds	10605	11390	-	BHHJFJ_00110	bet	phage recombination protein Bet	GO:0003677, GO:0006310, RefSeq:WP_016241376.1, SO:0001217, UniParc:UPI00033F1843, UniRef:UniRef100_A0A2Z2JK40, UniRef:UniRef50_P03698, UniRef:UniRef90_P03698
contig_1	cds	11396	11692	-	BHHJFJ_00115	gam	Host-nuclease inhibitor protein gam	GO:0060703, GO:0099016, RefSeq:WP_000995439.1, SO:0001217, UniParc:UPI000009AFEE, UniRef:UniRef100_A0A066QDN6, UniRef:UniRef50_P03702, UniRef:UniRef90_P03702
contig_1	cds	11768	11911	-	BHHJFJ_00120	kil	Protein kil	RefSeq:WP_000372941.1, SO:0001217, UniParc:UPI0001F68D5E, UniRef:UniRef100_A0A1V3CAP1, UniRef:UniRef50_P03758, UniRef:UniRef90_P03758
contig_1	cds	11880	12044	-	BHHJFJ_00125	cIII	Protease inhibitor III	GO:0019042, RefSeq:WP_001198861.1, SO:0001217, UniParc:UPI0000000357, UniRef:UniRef100_P03044, UniRef:UniRef50_P03044, UniRef:UniRef90_P03044
contig_1	ncRNA-region	11999	12057	-			Lambda phage CIII thermoregulator element	RFAM:RF01804, SO:0002168
contig_1	cds	12266	12889	-	BHHJFJ_00130		Nmad5 domain-containing protein	RefSeq:WP_000095080.1, SO:0001217, UniParc:UPI000448D5D3, UniRef:UniRef100_A0A2S0M3D1, UniRef:UniRef50_A0A1Q8Z114, UniRef:UniRef90_A0A0H3EFP6
contig_1	cds	12901	13242	-	BHHJFJ_00135		Regulator	RefSeq:WP_001450670.1, SO:0001217, UniParc:UPI000266FE21, UniRef:UniRef100_A0A2Z2JKA3, UniRef:UniRef50_P04891, UniRef:UniRef90_A0A2Z2JKA3
contig_1	cds	13690	13824	-	BHHJFJ_00140		Phage protein	RefSeq:WP_000929756.1, SO:0001217, UniParc:UPI000267584C, UniRef:UniRef100_A0A2Z2JHL0, UniRef:UniRef50_A0A240BIN2, UniRef:UniRef90_A0A240BIN2
contig_1	cds	13998	14531	-	BHHJFJ_00145		Integrase	RefSeq:WP_001193679.1, SO:0001217, UniParc:UPI0001F68D63, UniRef:UniRef100_A0A2Z2JF86, UniRef:UniRef50_A0A7L6YBS3, UniRef:UniRef90_A0A2Z2JF86
contig_1	cds	14721	15062	-	BHHJFJ_00150		DUF3024 domain-containing protein	RefSeq:WP_000885926.1, SO:0001217, UniParc:UPI0001F077C0, UniRef:UniRef100_A0A0F3TIE2, UniRef:UniRef50_I0QRV4, UniRef:UniRef90_A0A1U9AJE9
contig_1	cds	15100	15669	-	BHHJFJ_00155		Helix-turn-helix transcriptional regulator	SO:0001217, UniParc:UPI000D54853B, UniRef:UniRef100_A0A2Z2JIX0, UniRef:UniRef50_A0A8D6KPK8, UniRef:UniRef90_A0A136R0T5
contig_1	cds	15919	16143	+	BHHJFJ_00160		Antirepressor protein Cro	RefSeq:WP_001054987.1, SO:0001217, UniParc:UPI0001B5AF3A, UniRef:UniRef100_A0A0C2EQC9, UniRef:UniRef50_A0A140NI47, UniRef:UniRef90_A0A376P1W9
contig_1	cds	16579	17517	+	BHHJFJ_00165		Replication protein from bacteriophage origin	RefSeq:WP_000185454.1, SO:0001217, UniParc:UPI000009AEFD, UniRef:UniRef100_A0A066R313, UniRef:UniRef50_P03688, UniRef:UniRef90_A0A2W8DKC9
contig_1	cds	17514	18215	+	BHHJFJ_00170		Replication protein P	RefSeq:WP_109094774.1, SO:0001217, UniParc:UPI000D64717C, UniRef:UniRef100_UPI000D64717C, UniRef:UniRef50_P03689, UniRef:UniRef90_A0A5E9RZT7
contig_1	cds	18212	18502	+	BHHJFJ_00175		Protein ren	RefSeq:WP_000145931.1, SO:0001217, UniParc:UPI000005FB03, UniRef:UniRef100_A0A066R7W9, UniRef:UniRef50_P03761, UniRef:UniRef90_A0A0K6EK49
