# Annotated with Bakta
# Software: v1.9.1
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	99	302	+	JDDKHI_00005		Phage protein	SO:0001217, UniParc:UPI0007DDAA4D, UniRef:UniRef100_A0A172JHR0, UniRef:UniRef50_A0A172JHR0, UniRef:UniRef90_A0A172JHR0
contig_1	cds	409	1521	+	JDDKHI_00010		Metallophosphatase	SO:0001217, UniParc:UPI0007DCCAB8, UniRef:UniRef100_A0A172JHQ6, UniRef:UniRef50_A0A141HRT4, UniRef:UniRef90_A0A172JHQ6
contig_1	cds	1521	2000	+	JDDKHI_00015		hypothetical protein	SO:0001217, UniParc:UPI0007DD665B, UniRef:UniRef100_A0A172JHQ8, UniRef:UniRef50_A0A172JHQ8, UniRef:UniRef90_A0A172JHQ8
contig_1	cds	2002	2550	+	JDDKHI_00020	dprA	DNA processing chain A dprA protein	SO:0001217, UniParc:UPI0007DCFD07, UniRef:UniRef100_A0A172JHR1, UniRef:UniRef50_A0A172JHR1, UniRef:UniRef90_A0A172JHR1
contig_1	cds	2531	3223	+	JDDKHI_00025		DUF2786 domain-containing protein	SO:0001217, UniParc:UPI0007DD24D3, UniRef:UniRef100_A0A172JHR5, UniRef:UniRef50_A0A172JHR5, UniRef:UniRef90_A0A172JHR5
contig_1	cds	3216	3485	+	JDDKHI_00030		DUF4258 domain-containing protein	SO:0001217, UniParc:UPI0007DDC3D1, UniRef:UniRef100_A0A223LDH7, UniRef:UniRef50_A0A223LDH7, UniRef:UniRef90_A0A223LDH7
contig_1	cds	3583	5268	+	JDDKHI_00035		DnaB-like replicative helicase	SO:0001217, UniParc:UPI0007DE1130, UniRef:UniRef100_A0A172JHR4, UniRef:UniRef50_A0A172JHR4, UniRef:UniRef90_A0A172JHR4
contig_1	cds	5279	5521	+	JDDKHI_00040		hypothetical protein	SO:0001217, UniParc:UPI0007DD1C1A, UniRef:UniRef100_A0A223LDA9, UniRef:UniRef50_A0A223LDA9, UniRef:UniRef90_A0A223LDA9
contig_1	cds	5499	5990	+	JDDKHI_00045		Phage protein	SO:0001217, UniParc:UPI0007DD2ABB, UniRef:UniRef100_A0A172JHR7, UniRef:UniRef50_A0A223LDM2, UniRef:UniRef90_A0A223LDM2
contig_1	cds	6036	8582	-	JDDKHI_00050		Pretoxin HINT domain protein	SO:0001217, UniParc:UPI0007DD1E5B, UniRef:UniRef100_A0A172JHR6, UniRef:UniRef50_A0A223LCS2, UniRef:UniRef90_A0A223LCS2
contig_1	cds	8594	9166	-	JDDKHI_00055		DUF4435 domain-containing protein	SO:0001217, UniParc:UPI0007DDB5B3, UniRef:UniRef100_A0A172JHS2, UniRef:UniRef50_A0A223LDE5, UniRef:UniRef90_A0A223LDE5
contig_1	cds	9182	11137	-	JDDKHI_00060		Collagen-like domain containing protein	SO:0001217, UniParc:UPI0007DD679A, UniRef:UniRef100_A0A172JHS0, UniRef:UniRef50_A0A223LET9, UniRef:UniRef90_A0A223LET9
contig_1	cds	11242	11877	+	JDDKHI_00065		WLM domain-containing protein	SO:0001217, UniParc:UPI0007DD872B, UniRef:UniRef100_A0A172JHS5, UniRef:UniRef50_A0A223LCA7, UniRef:UniRef90_A0A223LCA7
contig_1	cds	11890	12054	+	JDDKHI_00070		HTH transcriptional regulator	SO:0001217, UniParc:UPI0007DDDE75, UniRef:UniRef100_A0A172JHS1, UniRef:UniRef50_A0A223LE28, UniRef:UniRef90_A0A223LE28
contig_1	cds	12051	12500	+	JDDKHI_00075		Fam-a protein	SO:0001217, UniParc:UPI0007DE098E, UniRef:UniRef100_A0A172JHS3, UniRef:UniRef50_A0A223LES7, UniRef:UniRef90_A0A223LES7
contig_1	cds	12530	13747	+	JDDKHI_00080		RecD/TraA family helicase	SO:0001217, UniParc:UPI0007DDD458, UniRef:UniRef100_A0A172JHS6, UniRef:UniRef50_A0A172JHS6, UniRef:UniRef90_A0A172JHS6
contig_1	cds	13795	14529	+	JDDKHI_00085		Metallophosphoesterase	SO:0001217, UniParc:UPI0007DD32D8, UniRef:UniRef100_A0A172JHS7, UniRef:UniRef50_A0A223LD99, UniRef:UniRef90_A0A223LD99
contig_1	cds	14532	14855	+	JDDKHI_00090		N-acetyltransferase	SO:0001217, UniParc:UPI0007DD4EBE, UniRef:UniRef100_A0A172JHR9, UniRef:UniRef50_A0A172JHR9, UniRef:UniRef90_A0A172JHR9
