gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
CP133956.1_1	101	1453	1353	1	0.380	11	AGxAGG/AGGxGG	GENOMAD.169639.VC	3.436e-06	52	0	0	0	1	NA	NA	NA	PF08299	Bacterial dnaA protein helix-turn-helix
CP133956.1_2	1610	2746	1137	1	0.391	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_3	2824	3021	198	1	0.364	11	GGA/GAG/AGG	GENOMAD.112661.CV	2.669e-17	76	0	0	0	2561	Caudoviricetes	NA	NA	PF06107;COG4481	Bacterial protein of unknown function (DUF951)
CP133956.1_4	3142	3507	366	1	0.374	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_5	3591	4706	1116	1	0.418	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_6	4865	5434	570	1	0.333	11	None	GENOMAD.099157.CV	6.459e-65	220	1	0	0	2561	Caudoviricetes	NA	NA	PF01195;K01056;COG0193;TIGR00447	Peptidyl-tRNA hydrolase
CP133956.1_7	5437	8931	3495	1	0.388	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_8	8900	10411	1512	1	0.373	11	GGAG/GAGG	GENOMAD.134292.CP	1.218e-11	70	0	0	0	1	NA	NA	NA	K06409;COG0728	Peptidoglycan biosynthesis protein MviN/MurJ, putative lipid II flippase
CP133956.1_9	10442	10714	273	1	0.370	11	GGAG/GAGG	GENOMAD.000639.CC	7.794e-18	79	0	0	0	1	NA	NA	NA	PF01479;COG2501;TIGR02988	Ribosome-associated protein YbcJ, S4-like RNA binding protein
CP133956.1_10	10701	11072	372	1	0.344	11	AGGA	GENOMAD.012968.CC	1.129e-60	204	0	0	0	1	NA	NA	NA	PF04999;COG2919;TIGR02209	Cell division protein FtsB
CP133956.1_11	11214	12500	1287	1	0.383	11	AGGAG	GENOMAD.014954.CC	1.856e-101	338	0	0	0	1	NA	NA	NF033103	PF13354;PF19087;COG2367	Beta-lactamase class A
CP133956.1_12	12497	13780	1284	1	0.371	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_13	13785	14327	543	1	0.374	11	GGA/GAG/AGG	GENOMAD.104622.VV	2.367e-16	79	0	0	0	1	NA	NA	NA	COG0634;TIGR01203	Hypoxanthine-guanine phosphoribosyltransferase
CP133956.1_14	14349	16322	1974	1	0.413	11	3Base/5BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
CP133956.1_15	16412	17875	1464	1	0.372	11	None	GENOMAD.154188.CP	1.922e-06	53	0	0	0	1	NA	NA	NA	PF13906	C-terminus of AA_permease
