# Annotated with Bakta
# Software: v1.9.1
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	183	995	-	DACMAK_00005		Acyl-CoA thioesterase	SO:0001217, UniRef:UniRef50_C6LDX2, UniRef:UniRef90_A0A2N5NIH7
contig_1	cds	1105	1362	-	DACMAK_00010		Bac-rhamnosid-C domain-containing protein	SO:0001217, UniRef:UniRef50_A0A417FK33
contig_1	cds	1337	3712	-	DACMAK_00015		alpha-L-rhamnosidase	SO:0001217, UniRef:UniRef50_A0A3E2WXZ2, UniRef:UniRef90_A0A174QJU0
contig_1	cds	3731	4951	-	DACMAK_00020		Glucuronide permease	SO:0001217, UniRef:UniRef50_A0A174QS34, UniRef:UniRef90_A0A174QRI2
contig_1	cds	4902	5072	-	DACMAK_00025		hypothetical protein	RefSeq:WP_226844375.1, SO:0001217, UniParc:UPI001D00A8A3, UniRef:UniRef100_UPI001D00A8A3, UniRef:UniRef50_UPI001D00A8A3, UniRef:UniRef90_UPI001D00A8A3
contig_1	cds	5087	7882	-	DACMAK_00030		alpha-L-rhamnosidase	SO:0001217, UniRef:UniRef50_R2XSV6, UniRef:UniRef90_A0A3A6GC24
contig_1	cds	7945	10197	-	DACMAK_00035		Thermostable beta-glucosidase B	RefSeq:WP_055267527.1, SO:0001217, UniParc:UPI0006C0A787, UniRef:UniRef100_A0A174QJC1, UniRef:UniRef50_A0A090ZBD1, UniRef:UniRef90_A0A174QJC1
contig_1	cds	10233	11324	-	DACMAK_00040		Alpha/beta hydrolase family	RefSeq:WP_055267525.1, SO:0001217, UniParc:UPI0006C67E9D, UniRef:UniRef100_A0A174QJ96, UniRef:UniRef50_R2XEG2, UniRef:UniRef90_A0A174QJ96
contig_1	cds	11539	12576	+	DACMAK_00045		HTH araC/xylS-type domain-containing protein	RefSeq:WP_158565064.1, SO:0001217, UniParc:UPI001314B0A1, UniRef:UniRef100_A0A396PAL4, UniRef:UniRef50_A0A2N5NQ02, UniRef:UniRef90_A0A2N5NQ02
contig_1	cds	12585	13136	-	DACMAK_00050	rhaD	rhamnulose-1-phosphate aldolase	EC:4.1.2.19, KEGG:K01629, SO:0001217, UniParc:UPI0006C3AE25, UniRef:UniRef100_A0A174QNL8, UniRef:UniRef50_A0A2X4WMA2, UniRef:UniRef90_A0A174QNL8
contig_1	cds	13218	13454	-	DACMAK_00055	lprI	LprI domain-containing protein	RefSeq:WP_156338124.1, SO:0001217, UniParc:UPI0012E3000B, UniRef:UniRef100_A0A174QIU9, UniRef:UniRef50_A0A174QIU9, UniRef:UniRef90_A0A174QIU9
contig_1	cds	13447	13872	-	DACMAK_00060		DNA-directed RNA polymerase	SO:0001217, UniParc:UPI0006C0993C, UniRef:UniRef100_A0A174QQJ8, UniRef:UniRef50_A0A174QQJ8, UniRef:UniRef90_A0A174QQJ8
contig_1	cds	13869	14132	-	DACMAK_00065		DUF4025 domain-containing protein	RefSeq:WP_055267519.1, SO:0001217, UniParc:UPI0006BF5A4A, UniRef:UniRef100_A0A174QQH1, UniRef:UniRef50_A0A174QQH1, UniRef:UniRef90_A0A174QQH1
contig_1	cds	14562	14855	-	DACMAK_00070	parB	Chromosome-partitioning protein parB	KEGG:K03497, RefSeq:WP_055267517.1, SO:0001217, UniParc:UPI0006C32D3A, UniRef:UniRef100_A0A174QIM6, UniRef:UniRef50_A0A174QIM6, UniRef:UniRef90_A0A174QIM6
contig_1	cds	15252	16946	-	DACMAK_00075		Site-specific recombinases, DNA invertase Pin-like proteins	SO:0001217, UniRef:UniRef50_A0A7U9SL98, UniRef:UniRef90_D7GTS5
contig_1	cds	16909	17139	-	DACMAK_00080		XRE family transcriptional regulator	RefSeq:WP_055303625.1, SO:0001217, UniParc:UPI0006C6DD73, UniRef:UniRef100_A0A285PT42, UniRef:UniRef50_V2Y2L4, UniRef:UniRef90_U2KQA4
contig_1	cds	17230	17415	-	DACMAK_00085		N-acetylmuramoyl-L-alanine amidase	RefSeq:WP_055303624.1, SO:0001217, UniParc:UPI0006C57331, UniRef:UniRef100_A0A416RU93, UniRef:UniRef50_A0A3E2U0G9, UniRef:UniRef90_A0A3E2U0G9
contig_1	cds	17432	18721	-	DACMAK_00090		Recombinase	SO:0001217, UniRef:UniRef50_B7ANN5, UniRef:UniRef90_A0A352UQP8
